epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4864,1.45071,3.256,1.48686,0.03167,0.90476,0.1962,0.11426,1.24515,2.94128,1.2448,4e-05,4e-05,4e-05
2,21.3324,1.21001,3.07717,1.3573,0.0325,0.92857,0.29157,0.16791,1.06861,2.8776,1.08774,9.901e-05,9.901e-05,9.901e-05
3,34.1427,1.10118,2.76986,1.23386,0.035,1,0.40767,0.23903,1.0316,2.80889,1.02501,0.000156832,0.000156832,0.000156832
4,46.0086,1.22465,2.51043,1.22706,0.035,1,0.66003,0.39966,1.14297,2.58256,1.03056,0.000213466,0.000213466,0.000213466
5,58.4816,1.24,2.29214,1.13274,0.035,1,0.77354,0.45081,1.21299,2.50793,1.05287,0.000268912,0.000268912,0.000268912
6,70.2571,1.23211,1.94392,1.11104,0.035,1,0.75207,0.47293,1.12113,2.44394,1.04745,0.00032317,0.00032317,0.00032317
7,82.4068,1.25471,1.87783,1.11626,0.035,1,0.75394,0.44377,1.1817,2.42633,1.05911,0.00037624,0.00037624,0.00037624
8,94.4766,1.1538,1.79694,1.13882,0.035,1,0.76862,0.44998,1.16487,2.42458,1.03852,0.000428122,0.000428122,0.000428122
9,106.029,0.971,1.53471,1.05516,0.97807,0.42857,0.71672,0.4172,1.19274,2.37643,1.05841,0.000478816,0.000478816,0.000478816
10,118.051,1.12934,1.33623,1.11486,1,0.3015,0.67456,0.39705,1.20491,2.33893,1.0505,0.000528322,0.000528322,0.000528322
11,129.479,1.19425,1.39193,1.15568,1,0.39505,0.67515,0.41945,1.17523,2.24829,1.04443,0.00057664,0.00057664,0.00057664
12,140.885,1.20366,1.21259,1.15789,0.94545,0.41293,0.68233,0.42188,1.11869,2.20255,1.03421,0.00062377,0.00062377,0.00062377
13,152.524,1.36333,1.44012,1.32986,0.80044,0.45238,0.72131,0.44448,1.14788,2.02448,1.05987,0.000669712,0.000669712,0.000669712
